,year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city
98,2000,7,Chicago Bears,Minnesota Vikings,Minnesota Vikings,,Sun,October 15,8:35PM,28,16,368,1,294,0,Bears,Chicago,Vikings,Minnesota
99,2000,7,Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,,Mon,October 16,9:10PM,27,13,409,1,304,2,Titans,Tennessee,Jaguars,Jacksonville
100,2000,8,Tampa Bay Buccaneers,Detroit Lions,Detroit Lions,,Thu,October 19,8:35PM,28,14,277,0,258,4,Buccaneers,Tampa Bay,Lions,Detroit
101,2000,8,Dallas Cowboys,Arizona Cardinals,Dallas Cowboys,,Sun,October 22,1:00PM,48,7,347,0,276,3,Cowboys,Dallas,Cardinals,Arizona
102,2000,8,Indianapolis Colts,New England Patriots,Indianapolis Colts,,Sun,October 22,1:00PM,30,23,398,1,386,1,Colts,Indianapolis,Patriots,New England
103,2000,8,Kansas City Chiefs,St. Louis Rams,Kansas City Chiefs,,Sun,October 22,1:00PM,54,34,468,0,428,4,Chiefs,Kansas City,Rams,St. Louis
104,2000,8,Cincinnati Bengals,Denver Broncos,Cincinnati Bengals,,Sun,October 22,1:00PM,31,21,421,1,500,3,Bengals,Cincinnati,Broncos,Denver
105,2000,8,Minnesota Vikings,Buffalo Bills,Minnesota Vikings,,Sun,October 22,1:02PM,31,27,348,1,406,1,Vikings,Minnesota,Bills,Buffalo
106,2000,8,Carolina Panthers,San Francisco 49ers,Carolina Panthers,,Sun,October 22,1:02PM,34,16,390,0,411,2,Panthers,Carolina,49ers,San Francisco
107,2000,8,Baltimore Ravens,Tennessee Titans,Tennessee Titans,,Sun,October 22,1:02PM,14,6,191,2,368,4,Ravens,Baltimore,Titans,Tennessee
108,2000,8,Philadelphia Eagles,Chicago Bears,Philadelphia Eagles,,Sun,October 22,1:03PM,13,9,298,2,274,1,Eagles,Philadelphia,Bears,Chicago
